handle,followerCount
"jay.bsky.team",595004
"youranoncentral.bsky.social",452490
"adamparkhomenko.bsky.social",416122
"anneapplebaum.bsky.social",395351
"angrystaffer.bsky.social",379980
"radiofreetom.bsky.social",369620
"kenwhite.bsky.social",356557
"pfrazee.com",307534
"emptywheel.bsky.social",297390
"andyrichter.co",277300
"nickknudsenus.bsky.social",262755
"libradunn1.bsky.social",261051
"erininthemorning.com",260689
"dahlialithwick.bsky.social",253606
"stevevladeck.bsky.social",241594
"parkermolloy.com",225331
"carolecadwalla.bsky.social",222078
"oliviaoftroye.com",220964
"elevenfilms.com",216016
"alexwinter.com",208954
"heatherthomasaf.bsky.social",200464
"mmasnick.bsky.social",193846
"shannonrwatts.bsky.social",192383
"georgemonbiot.bsky.social",190348
"pwnallthethings.bsky.social",186921
"darthbluesky.bsky.social",186605
"michaelhobbes.bsky.social",184893
"chriswarcraft.bsky.social",182122
"joshuajfriedman.com",179388
"drdind.bsky.social",176001
"techconnectify.bsky.social",172922
"jairme.bsky.social",172065
"noupside.bsky.social",171131
"girlsreallyrule.bsky.social",170085
"who.int",169623
"brandyzadrozny.bsky.social",167875
"swordsjew.bsky.social",166359
"karenattiah.bsky.social",163653
"petermorley.bsky.social",163602
"drewharwell.com",162848
"rmayemsinger.bsky.social",162559
"bannerite.bsky.social",160807
"demcast.com",158959
"pdxeleven.bsky.social",156972
"nadinesmith.bsky.social",156649
"bigjosh84.bsky.social",155202
"hunterw.bsky.social",154989
"andrewjweinstein.com",154774
"sarahjeong.bsky.social",153278
"jasonkander.bsky.social",152927
"kaylan.bsky.social",152458
"mary1kathy.bsky.social",152254
"lisaloe.bsky.social",152015
"dell.bsky.social",150881
"lee-in-iowa.bsky.social",149388
"anamariecox.bsky.social",146947
"charliesavage.bsky.social",146419
"heatherpaterson.co.uk",145425
"mindyanns.bsky.social",144729
"gregolear.bsky.social",144551
"amandaknox.com",144181
"lkrozen.bsky.social",142927
"elizaorlins.bsky.social",142814
"jennycohn.bsky.social",142201
"iandunt.bsky.social",141857
"drdigipol.bsky.social",141691
"fwcollaborative.bsky.social",140353
"bylinetimes.bsky.social",139923
"laurapackard.com",139803
"katharinehayhoe.com",139790
"jeffjarvis.bsky.social",139229
"rmac.bsky.social",135520
"karlykingsley.bsky.social",135289
"normornstein.bsky.social",134546
